product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000313,หมึกแฟลชกระดาษ 5 ml. (ดำ),FINISHPRODUCT,INK,3KBแถว4ชั้น4,,true,,8094,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000314,หมึกแฟลชกระดาษ 5 ml. (แดง),FINISHPRODUCT,INK,3KBแถว4ชั้น3,,true,,8095,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000315,หมึกแฟลชกระดาษ 5 ml. (น้ำเงิน),FINISHPRODUCT,INK,3KBแถว5ชั้น4,,true,,8096,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000316,หมึกแฟลชผ้า 5 ml. (เขียว),FINISHPRODUCT,INK,3KBแถว5ชั้น5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000316-1768884648920.jpg,8097,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000317,หมึกแฟลชผ้า 5 ml. (ชมพู),FINISHPRODUCT,INK,3KBแถว4ชั้น5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000317-1768884649225.jpg,8098,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000318,หมึกแฟลชผ้า 5 ml. (ดำ),FINISHPRODUCT,INK,3KBแถว5ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000318-1768884649535.jpg,8099,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000319,หมึกแฟลชผ้า 5 ml. (น้ำเงิน),FINISHPRODUCT,INK,3KBแถว4ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000319-1768884649833.jpg,8100,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000320,หมึกแฟลชพลาสติก 5 ml. (เขียว),FINISHPRODUCT,INK,3KBแถว5ชั้น1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000320-1768884650157.jpg,8101,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000321,หมึกแฟลชพลาสติก 5 ml. (ดำ),FINISHPRODUCT,INK,3KBแถว5ชั้น2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000321-1768884650511.jpg,8102,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000322,หมึกแฟลชพลาสติก 5 ml. (แดง),FINISHPRODUCT,INK,3KBแถว4ชั้น1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000322-1768884650869.jpg,8103,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000323,หมึกแฟลชพลาสติก 5 ml. (น้ำเงิน),FINISHPRODUCT,INK,3KBแถว4ชั้น2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000323-1768884651205.jpg,8104,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000324,IRONB สติกเกอร์แบบรีด,FINISHPRODUCT,IRON STK,ไม่มีจุดจัดเก็บ,,true,,8105,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000325,IRONC สติกเกอร์แบบรีด,FINISHPRODUCT,IRON STK,ไม่มีจุดจัดเก็บ,,true,,8106,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000326,IRONC2 สติกเกอร์แบบรีด,FINISHPRODUCT,IRON STK,ไม่มีจุดจัดเก็บ,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000326-1768884651535.jpg,8107,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
